date,symbol,open,high,low,close,macd,macd_signal_line,macd_hist,atr,bolling_middle_band,bolling_upper_band,bolling_lower_band,bolling_upper_diff,bolling_lower_diff,lrs,highest_high,lowest_low,pcn_highest_high,pcn_lowest_low,rmi,rsi,smi
1981-04-22,AAPL,0.099453292787075,0.0998894669691078,0.099453292787075,0.099453292787075,0.0016,0.0011,0.0005,0.003,0.0918,0.1005,0.0831,-0.0010156435489020038,0.016322229123051993,0.0002,,,0.0977,0.0872,54.685,62.5,24.7476
1981-04-23,AAPL,0.1020703315734863,0.1025065058281209,0.1020703315734863,0.1020703315734863,0.0021,0.0013,0.0008,0.003,0.0923,0.1021,0.0825,1.9433956173181555e-05,0.019521229190799433,0.0004,,,0.0999,0.0872,67.2655,66.6667,55.0235
1981-04-24,AAPL,0.1020703396263541,0.1020703396263541,0.1011980026960372,0.1011980026960372,0.0025,0.0015,0.001,0.0029,0.0929,0.1033,0.0825,-0.0020831369662705768,0.018679142358344974,0.0005,,,0.1025,0.0872,73.6571,65.2174,67.4658
1981-04-27,AAPL,0.1007618032954494,0.1007618032954494,0.1003256291151046,0.1003256291151046,0.0027,0.0018,0.0009,0.0027,0.0936,0.104,0.0832,-0.0036789152262135666,0.017130173456422773,0.0005,,,0.1025,0.0899,75.7392,63.6364,65.6959
1981-04-28,AAPL,0.0990171381778778,0.0990171381778778,0.098580963909626,0.098580963909626,0.0026,0.0019,0.0007,0.0027,0.0942,0.1043,0.0841,-0.005679949896069333,0.014441877715321308,0.0004,,,0.1025,0.096,74.3952,59.0909,46.8826
1981-04-29,AAPL,0.0977085867037776,0.0977085867037776,0.0972724184393882,0.0972724184393882,0.0024,0.002,0.0004,0.0026,0.0948,0.1041,0.0855,-0.006826941286797006,0.011771778165573427,0.0004,,,0.1025,0.0986,66.9297,57.1429,14.2702
1981-04-30,AAPL,0.0990171357989311,0.0998894843144761,0.0990171357989311,0.0990171357989311,0.0025,0.0021,0.0004,0.0026,0.0955,0.1037,0.0873,-0.004680550359488167,0.011714821957350352,0.0004,,,0.1025,0.0973,63.6136,60.0,-4.746
1981-05-01,AAPL,0.0990171357989311,0.0998894843144761,0.0990171357989311,0.0990171357989311,0.0024,0.0022,0.0002,0.0024,0.0959,0.1041,0.0877,-0.005050816564489219,0.011285088162351409,0.0005,,,0.1021,0.0973,61.5234,61.1111,-10.5127
1981-05-04,AAPL,0.0990171381778778,0.0990171381778778,0.098580963909626,0.098580963909626,0.0023,0.0022,0.0001,0.0023,0.0962,0.1043,0.0881,-0.005711664472764846,0.010473592292016845,0.0006,,,0.1008,0.0973,61.5234,58.8235,-11.0514
1981-05-05,AAPL,0.0985809471159138,0.0985809471159138,0.0981447845697403,0.0981447845697403,0.0022,0.0022,-0.0,0.0022,0.0966,0.1043,0.0889,-0.00618598777370144,0.00927555691318202,0.0006,,,0.0999,0.0973,62.5936,56.25,-15.0972
1981-05-06,AAPL,0.0959639440411301,0.0959639440411301,0.0955277755856514,0.0955277755856514,0.0018,0.0021,-0.0003,0.0022,0.0968,0.1039,0.0897,-0.008391661961896488,0.005847213133199289,0.0004,,,0.0999,0.0973,55.5324,50.0,-40.9849
1981-05-07,AAPL,0.0968362763524055,0.0972724505848221,0.0968362763524055,0.0968362763524055,0.0016,0.002,-0.0004,0.0022,0.097,0.104,0.09,-0.007181432194686491,0.006853984899497498,0.0001,,,0.0999,0.0955,51.3913,53.3333,-46.9964
1981-05-08,AAPL,0.0977086126804351,0.0981447868846707,0.0977086126804351,0.0977086126804351,0.0016,0.0019,-0.0003,0.0021,0.0971,0.1041,0.0901,-0.006400419660748183,0.007617645021618366,-0.0002,,,0.0999,0.0955,49.6971,57.1429,-32.0721
